«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-1840»,«暦日2»,一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1830-1850»,«暦日0»,二〳,つちのとのひつし,のそく,,　,大みやう わうまう  みそすつくり 田うへよし
«1830-1860»,«節中»,夏至五月中とりの二刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1830-1870»,«暦日2»,三〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1830-1880»,«暦日0»,四〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1830-1890»,«暦日2»,五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1830-1900»,«暦日0»,六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1830-1910»,«暦日2»,七〳,きのえね,やふる,金,　,●
«1830-1920»,«暦日0»,八〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1830-1930»,«暦日2»,九〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1830-1940»,«暦日0»,十〳,ひのとのう,おさん,,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日
«1830-1950»,«暦日2»,十一〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1830-1960»,«暦日0»,十二〳,つちのとのみ,とつ,,はんけしやう,十し
