«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-2540»,«暦日0»,十七〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1686-2550»,«暦日2»,十八〳,かのえね,たいら,土,八月せついぬの七刻ニ入,神よし 大くわ 地火
«1686-2560»,«暦日0»,十九〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1686-2570»,«暦日2»,廿〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1686-2580»,«暦日0»,廿一〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1686-2590»,«暦日2»,廿二〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1686-2600»,«暦日0»,廿三〳,きのとのみ,なる,,　,十し
«1686-2610»,«暦日2»,廿四〳,ひのえむま,おさん,水,二百廿日,大みやう めつもん
«1686-2620»,«暦日0»,廿五〳,ひのとのひつし,ひらく,,　,●
«1686-2630»,«暦日2»,廿六〳,つちのえさる,とつ,土,　,天しや よろつよし
«1686-2640»,«暦日0»,廿七〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1686-2650»,«暦日2»,廿八〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1686-2660»,«暦日0»,廿九〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1686-2670»,«暦日1»,卅〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1686-2680»,«月序»,八月,小,建,丁酉,婁宿　軫　水よう
«1686-2690»,«暦日1»,一〳,みつのとのうし,さたん,木,ま日,神よし  たねまき 竹木こり  つめとりよし
«1686-2700»,«暦日2»,二〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1686-2710»,«暦日0»,三〳,きのとのう,やふる,,　,くゑ日 ふく日
«1686-2720»,«暦日2»,四〳,ひのえたつ,あやふ,土,秋分八月中うしの四刻|ま日,大みやう
«1686-2730»,«暦日0»,五〳,ひのとのみ,なる,,　,十し
«1686-2740»,«暦日2»,六〳,つちのえむま,おさん,火,ま日|社日|ひかんニなる,めつもん
«1686-2750»,«暦日0»,七〳,つちのとのひつし,ひらく,,　,●
«1686-2760»,«暦日2»,八〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1686-2770»,«暦日0»,九〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1686-2780»,«暦日2»,十〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1686-2790»,«暦日0»,十一〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1686-2800»,«暦日2»,十二〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1686-2810»,«暦日0»,十三〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1686-2820»,«暦日2»,十四〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1686-2830»,«暦日0»,十五〳,ひのとのう,やふる,,　,さい下しき  田かりよし
«1686-2840»,«暦日2»,十六〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
