«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-1860»,«暦日2»,一〳,つちのえね,やふる,火,　,●
«1799-1870»,«暦日0»,二〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1799-1880»,«暦日2»,三〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1799-1890»,«暦日0»,四〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1799-1900»,«暦日1»,五〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1799-1910»,«節中»,小暑六月せつみの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1799-1920»,«暦日1»,六〳,みつのとのみ,ひらく,水,天一天上,母倉 ちう日  いちたちよし
«1799-1930»,«暦日2»,七〳,きのえむま,とつ,金,　,●
«1799-1940»,«暦日0»,八〳,きのとのひつし,たつ,,　,大みやう 五む日
«1799-1950»,«暦日2»,九〳,ひのえさる,のそく,火,　,神よし
«1799-1960»,«暦日0»,十〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1799-1970»,«暦日2»,十一〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1799-1980»,«暦日0»,十二〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1799-1990»,«暦日2»,十三〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1799-2000»,«暦日0»,十四〳,かのとのうし,やふる,,　,十し
«1799-2010»,«暦日2»,十五〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1799-2020»,«暦日0»,十六〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1799-2030»,«暦日2»,十七〳,きのえたつ,おさん,火,とようひつしの六刻ニ入,きしく 大みやう 月とく めつもん  わたましよし
«1799-2040»,«暦日0»,十八〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1799-2050»,«暦日2»,十九〳,ひのえむま,とつ,水,　,●
«1799-2060»,«暦日0»,廿〳,ひのとのひつし,たつ,,　,くゑ日
«1799-2070»,«節中»,大暑六月中さるの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1799-2080»,«暦日2»,廿一〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1799-2090»,«暦日0»,廿二〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1799-2100»,«暦日2»,廿三〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1799-2110»,«暦日0»,廿四〳,かのとのい,さたん,,　,大みやう 天おん ちう日
