《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-1820》,《節中》,小暑六月せつ今暁とらの六刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1831-1830》,《月序》,六月,大,建,乙未,昴宿　柳　土よう
《1831-1840》,《暦日1》,一／,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
《1831-1850》,《暦日2》,二／,みつのえむま,とつ,木,　,●
《1831-1860》,《暦日0》,三／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1831-1870》,《暦日2》,四／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1831-1880》,《暦日0》,五／,きのとのとり,みつ,,　,神よし ちいみ
《1831-1890》,《暦日2》,六／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1831-1900》,《暦日0》,七／,ひのとのい,さたん,,　,大みやう ちう日
《1831-1910》,《暦日2》,八／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1831-1920》,《暦日0》,九／,つちのとのうし,やふる,,　,十し
《1831-1930》,《暦日2》,十／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《1831-1940》,《暦日0》,十一／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1831-1950》,《暦日2》,十二／,みつのえたつ,おさん,水,とようたつの七刻ニ入,さい下しき 大みやう 五む日 めつもん
《1831-1960》,《暦日0》,十三／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1831-1970》,《暦日2》,十四／,きのえむま,とつ,金,　,●
《1831-1980》,《暦日0》,十五／,きのとのひつし,たつ,,　,大みやう 五む日
《1831-1990》,《節中》,大暑六月中みの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1831-2000》,《暦日2》,十六／,ひのえさる,のそく,火,　,神よし
《1831-2010》,《暦日0》,十七／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1831-2020》,《暦日2》,十八／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1831-2030》,《暦日0》,十九／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1831-2040》,《暦日2》,廿／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1831-2050》,《暦日0》,廿一／,かのとのうし,やふる,,　,十し
