«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-2480»,«暦日0»,廿九〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1827-2490»,«月序»,七月,大,建,戊申,翼宿　箕　水よう
«1827-2500»,«暦日1»,一〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1827-2510»,«節中»,処暑七月中いぬの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1827-2520»,«暦日1»,二〳,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1827-2530»,«暦日2»,三〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1827-2540»,«暦日0»,四〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1827-2550»,«暦日2»,五〳,つちのえさる,たつ,土,　,天しや よろつよし
«1827-2560»,«暦日0»,六〳,つちのとのとり,のそく,,　,十し
«1827-2570»,«暦日2»,七〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1827-2580»,«暦日0»,八〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1827-2590»,«暦日2»,九〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1827-2600»,«暦日0»,十〳,みつのとのうし,とる,,ま日,●
«1827-2610»,«暦日2»,十一〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1827-2620»,«暦日0»,十二〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1827-2630»,«暦日2»,十三〳,ひのえたつ,なる,土,二百十日|ま日,大みやう 母倉 ちいみ  くさかりよし
«1827-2640»,«暦日0»,十四〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1827-2650»,«暦日2»,十五〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1827-2660»,«暦日0»,十六〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1827-2670»,«暦日1»,十七〳,かのえさる,とつ,木,　,神よし きしく 大みやう 月とく  入学よし
«1827-2680»,«節中»,白露八月せつ今暁うしの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1827-2690»,«暦日1»,十八〳,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1827-2700»,«暦日2»,十九〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1827-2710»,«暦日0»,廿〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1827-2720»,«暦日2»,廿一〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
