«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-2580»,«節中»,秋分八月中いの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1776-2590»,«暦日2»,九〳,つちのえさる,とつ,土,社日,天しや よろつよし
«1776-2600»,«暦日0»,十〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく わうまう 下しきむまの時
«1776-2610»,«暦日2»,十一〳,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
«1776-2620»,«暦日0»,十二〳,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
«1776-2630»,«暦日2»,十三〳,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
«1776-2640»,«暦日0»,十四〳,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1776-2650»,«暦日2»,十五〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1776-2660»,«暦日0»,十六〳,きのとのう,やふる,,　,くゑ日 ふく日
«1776-2670»,«暦日2»,十七〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉
«1776-2680»,«暦日0»,十八〳,ひのとのみ,なる,,　,十し
«1776-2690»,«暦日2»,十九〳,つちのえむま,おさん,火,ま日,めつもん
«1776-2700»,«暦日0»,廿〳,つちのとのひつし,ひらく,,　,●
«1776-2710»,«暦日2»,廿一〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1776-2720»,«暦日0»,廿二〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1776-2730»,«暦日2»,廿三〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1776-2740»,«暦日0»,廿四〳,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
