《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-2240》,《暦日1》,九／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1734-2250》,《節中》,立秋七月せつうしの初刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1734-2260》,《暦日1》,十／,みつのとのひつし,とつ,木,　
《1734-2270》,《暦日2》,十一／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1734-2280》,《暦日0》,十二／,きのとのとり,のそく,,　,十し
《1734-2290》,《暦日2》,十三／,ひのえいぬ,みつ,土,　,五む日
《1734-2300》,《暦日0》,十四／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1734-2310》,《暦日2》,十五／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《1734-2320》,《暦日0》,十六／,つちのとのうし,とる,,　,●
《1734-2330》,《暦日2》,十七／,かのえとら,やふる,木,末伏,ふく日 わうまう  つめとりよし
《1734-2340》,《暦日0》,十八／,かのとのう,あやふ,,　,神よし
《1734-2350》,《暦日2》,十九／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1734-2360》,《暦日0》,廿／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1734-2370》,《暦日2》,廿一／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1734-2380》,《暦日0》,廿二／,きのとのひつし,とつ,,　,大みやう 五む日
《1734-2390》,《暦日2》,廿三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1734-2400》,《暦日0》,廿四／,ひのとのとり,のそく,,　,十し
《1734-2410》,《節中》,処暑七月中うの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1734-2420》,《暦日2》,廿五／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1734-2430》,《暦日0》,廿六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1734-2440》,《暦日2》,廿七／,かのえね,さたん,土,　,神よし ふく日
《1734-2450》,《暦日0》,廿八／,かのとのうし,とる,,　,●
《1734-2460》,《暦日2》,廿九／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1734-2470》,《暦日0》,卅／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1734-2480》,《月序》,八月,小,建,癸酉,房宿　虛　日よう
《1734-2490》,《暦日2》,一／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1734-2500》,《暦日0》,二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1734-2510》,《暦日2》,三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1734-2520》,《暦日0》,四／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1734-2530》,《暦日2》,五／,つちのえさる,たつ,土,二百十日,天しや よろつよし
《1734-2540》,《暦日0》,六／,つちのとのとり,のそく,,　,十し
《1734-2550》,《暦日2》,七／,かのえいぬ,みつ,金,　,大みやう ふく日
《1734-2560》,《暦日0》,八／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1734-2570》,《暦日1》,九／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1734-2580》,《節中》,白露八月せつむまの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1734-2590》,《暦日1》,十／,みつのとのうし,さたん,木,ま日,神よし  たねまき 竹木こり  つめとりよし
《1734-2600》,《暦日2》,十一／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1734-2610》,《暦日0》,十二／,きのとのう,やふる,,　,くゑ日 ふく日
《1734-2620》,《暦日2》,十三／,ひのえたつ,あやふ,土,ま日,きしく 大みやう
《1734-2630》,《暦日0》,十四／,ひのとのみ,なる,,　,十し
《1734-2640》,《暦日2》,十五／,つちのえむま,おさん,火,二百廿日/ま日,めつもん
《1734-2650》,《暦日0》,十六／,つちのとのひつし,ひらく,,　,●
《1734-2660》,《暦日2》,十七／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1734-2670》,《暦日0》,十八／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1734-2680》,《暦日2》,十九／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1734-2690》,《暦日0》,廿／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1734-2700》,《暦日2》,廿一／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1734-2710》,《暦日0》,廿二／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1734-2720》,《暦日2》,廿三／,ひのえとら,とる,火,　,きこ  つめとりよし
《1734-2730》,《暦日0》,廿四／,ひのとのう,やふる,,　,さい下しき  田かりよし
《1734-2740》,《節中》,秋分八月中さるの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1734-2750》,《暦日2》,廿五／,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
《1734-2760》,《暦日0》,廿六／,つちのとのみ,なる,,ひかんニなる,十し
《1734-2770》,《暦日2》,廿七／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1734-2780》,《暦日0》,廿八／,かのとのひつし,ひらく,,　,●
