《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-2410》,《暦日2》,廿二／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1826-2420》,《暦日0》,廿三／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1826-2430》,《暦日2》,廿四／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1826-2440》,《暦日0》,廿五／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1826-2450》,《暦日2》,廿六／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1826-2460》,《暦日0》,廿七／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1826-2470》,《暦日2》,廿八／,つちのえさる,たつ,土,　,天しや よろつよし
《1826-2480》,《暦日0》,廿九／,つちのとのとり,のそく,,　,十し
《1826-2490》,《月序》,八月,大,建,丁酉,婁宿　胃　土よう
《1826-2500》,《暦日2》,一／,かのえいぬ,みつ,金,二百十日,大みやう 天おん 母倉 ふく日
《1826-2510》,《暦日0》,二／,かのとのい,たいら,,　,さい下しき 神よし 大みやう 天おん ちう日 めつもん 地火
《1826-2520》,《暦日2》,三／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1826-2530》,《暦日0》,四／,みつのとのうし,とる,,ま日,●
《1826-2540》,《暦日1》,五／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1826-2550》,《節中》,白露八月せついぬの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1826-2560》,《暦日1》,六／,きのとのう,やふる,水,　,くゑ日 ふく日
《1826-2570》,《暦日2》,七／,ひのえたつ,あやふ,土,ま日,きしく 大みやう 母倉
《1826-2580》,《暦日0》,八／,ひのとのみ,なる,,　,十し
《1826-2590》,《暦日2》,九／,つちのえむま,おさん,火,ま日,めつもん
《1826-2600》,《暦日0》,十／,つちのとのひつし,ひらく,,　,●
《1826-2610》,《暦日2》,十一／,かのえさる,とつ,木,二百廿日,神よし 大みやう 月とく  入学よし
《1826-2620》,《暦日0》,十二／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1826-2630》,《暦日2》,十三／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1826-2640》,《暦日0》,十四／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1826-2650》,《暦日2》,十五／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
