«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-2580»,«暦日0»,廿三〳,ひのとのひつし,ひらく,,　,●
«1696-2590»,«暦日2»,廿四〳,つちのえさる,とつ,土,秋分八月中むまの六刻|社日,天しや よろつよし
«1696-2600»,«暦日0»,廿五〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1696-2610»,«暦日2»,廿六〳,かのえいぬ,のそく,金,ひかんニなる,大みやう ちいみ わうまう
«1696-2620»,«暦日0»,廿七〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1696-2630»,«暦日2»,廿八〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1696-2640»,«暦日0»,廿九〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1696-2650»,«月序»,九月,大,建,戊戌,星宿　參　水よう
«1696-2660»,«暦日2»,一〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1696-2670»,«暦日0»,二〳,きのとのう,やふる,,　,くゑ日 ふく日
«1696-2680»,«暦日2»,三〳,ひのえたつ,あやふ,土,ま日,きしく 大みやう
«1696-2690»,«暦日0»,四〳,ひのとのみ,なる,,　,十し
«1696-2700»,«暦日2»,五〳,つちのえむま,おさん,火,ま日,めつもん
«1696-2710»,«暦日0»,六〳,つちのとのひつし,ひらく,,　,●
«1696-2720»,«暦日2»,七〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1696-2730»,«暦日0»,八〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1696-2740»,«暦日2»,九〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1696-2750»,«暦日0»,十〳,みつのとのい,のそく,,かん露九月せつとりの三刻ニ入|八せんのおはり,ちう日  むきまきよし
«1696-2760»,«暦日2»,十一〳,きのえね,みつ,金,　,きこ 天火 らうしやく
«1696-2770»,«暦日0»,十二〳,きのとのうし,たいら,,　,十し
«1696-2780»,«暦日2»,十三〳,ひのえとら,さたん,火,　,●
«1696-2790»,«暦日0»,十四〳,ひのとのう,とる,,　,神よし  田かりよし
«1696-2800»,«暦日2»,十五〳,つちのえたつ,やふる,木,　,五む日 ふく日
«1696-2810»,«暦日0»,十六〳,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
«1696-2820»,«暦日2»,十七〳,かのえむま,なる,土,　,神よし  みそすつくりよし
«1696-2830»,«暦日0»,十八〳,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
