《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-1750》,《暦日0》,廿二／,つちのとのうし,やふる,,　,十し
《1787-1760》,《節中》,小暑六月せつむまの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1787-1770》,《暦日2》,廿三／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1787-1780》,《暦日0》,廿四／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1787-1790》,《暦日2》,廿五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1787-1800》,《暦日0》,廿六／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1787-1810》,《暦日2》,廿七／,きのえむま,とつ,金,　,●
《1787-1820》,《暦日0》,廿八／,きのとのひつし,たつ,,　,大みやう 五む日
《1787-1830》,《暦日1》,廿九／,ひのえさる,のそく,火,　,神よし
《1787-1840》,《月序》,六月,小,建,丁未,井宿　房　日よう
《1787-1850》,《暦日1》,一／,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
《1787-1860》,《暦日2》,二／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1787-1870》,《暦日0》,三／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1787-1880》,《暦日2》,四／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1787-1890》,《暦日0》,五／,かのとのうし,やふる,,とようさるの四刻ニ入,十し
《1787-1900》,《暦日2》,六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1787-1910》,《暦日0》,七／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1787-1920》,《暦日1》,八／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1787-1930》,《節中》,大暑六月中とりの初刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1787-1940》,《暦日1》,九／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《1787-1950》,《暦日2》,十／,ひのえむま,とつ,水,　,●
《1787-1960》,《暦日0》,十一／,ひのとのひつし,たつ,,　,くゑ日
