«1757-0000»,【 カンマ区切りテキスト形式です。】
«1757-2580»,«暦日1»,九〳,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
«1757-2590»,«節中»,秋分八月中今暁とらの七刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1757-2600»,«暦日1»,十〳,つちのとのみ,なる,木,　,十し
«1757-2610»,«暦日2»,十一〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1757-2620»,«暦日0»,十二〳,かのとのひつし,ひらく,,　,●
«1757-2630»,«暦日2»,十三〳,みつのえさる,とつ,金,　,神よし 大みやう
«1757-2640»,«暦日0»,十四〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1757-2650»,«暦日2»,十五〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1757-2660»,«暦日0»,十六〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1757-2670»,«暦日2»,十七〳,ひのえね,たいら,水,　,大くわ 地火
«1757-2680»,«暦日0»,十八〳,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
«1757-2690»,«暦日2»,十九〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1757-2700»,«暦日0»,廿〳,つちのとのう,やふる,,　,大みやう 天おん
«1757-2710»,«暦日2»,廿一〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1757-2720»,«暦日0»,廿二〳,かのとのみ,なる,,　,十し
