«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-2410»,«暦日2»,六〳,かのえね,さたん,土,　,神よし ふく日
«1689-2420»,«暦日0»,七〳,かのとのうし,とる,,七月中みの一刻,●
«1689-2430»,«暦日2»,八〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1689-2440»,«暦日0»,九〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1689-2450»,«暦日2»,十〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1689-2460»,«暦日0»,十一〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1689-2470»,«暦日2»,十二〳,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
«1689-2480»,«暦日0»,十三〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1689-2490»,«暦日2»,十四〳,つちのえさる,たつ,土,　,天しや よろつよし
«1689-2500»,«暦日0»,十五〳,つちのとのとり,のそく,,　,十し
«1689-2510»,«暦日2»,十六〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1689-2520»,«暦日0»,十七〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1689-2530»,«暦日2»,十八〳,みつのえね,さたん,木,二百十日|八せんのはしめ,神よし  くらたてよし
«1689-2540»,«暦日0»,十九〳,みつのとのうし,とる,,ま日,●
«1689-2550»,«暦日2»,廿〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1689-2560»,«暦日0»,廿一〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1689-2570»,«暦日2»,廿二〳,ひのえたつ,あやふ,土,八月せつひつしの六刻ニ入|ま日,大みやう
«1689-2580»,«暦日0»,廿三〳,ひのとのみ,なる,,　,十し
«1689-2590»,«暦日2»,廿四〳,つちのえむま,おさん,火,ま日,めつもん
«1689-2600»,«暦日0»,廿五〳,つちのとのひつし,ひらく,,　,●
«1689-2610»,«暦日2»,廿六〳,かのえさる,とつ,木,　,神よし きしく 大みやう  入学よし
«1689-2620»,«暦日0»,廿七〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1689-2630»,«暦日2»,廿八〳,みつのえいぬ,のそく,水,二百廿日|ま日,ちいみ  たねまきよし
