«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-2640»,«暦日2»,十五〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1779-2650»,«暦日0»,十六〳,ひのとのう,やふる,,　,天おん  田かりよし
«1779-2660»,«暦日2»,十七〳,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
«1779-2670»,«暦日0»,十八〳,つちのとのみ,なる,,　,十し
«1779-2680»,«暦日2»,十九〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1779-2690»,«暦日0»,廿〳,かのとのひつし,ひらく,,　,●
«1779-2700»,«暦日2»,廿一〳,みつのえさる,とつ,金,　,神よし 大みやう
«1779-2710»,«暦日0»,廿二〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1779-2720»,«暦日2»,廿三〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1779-2730»,«暦日0»,廿四〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
