《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2610》,《暦日0》,十二／,かのとのうし,さたん,,二百廿日,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2620》,《暦日2》,十三／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2630》,《暦日0》,十四／,みつのとのう,やふる,,　, くらたて 田かりよし
《2640》,《暦日2》,十五／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2650》,《暦日0》,十六／,きのとのみ,なる,,　,十し
《2660》,《暦日2》,十七／,ひのえむま,おさん,水,　,大みやう めつもん
《2670》,《暦日0》,十八／,ひのとのひつし,ひらく,,　,●
《2680》,《暦日2》,十九／,つちのえさる,とつ,土,社日,天しや よろつよし
《2690》,《暦日0》,廿／,つちのとのとり,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2700》,《暦日1》,廿一／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2710》,《節中》,秋分八月中いぬの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2720》,《暦日1》,廿二／,かのとのい,みつ,金,　,神よし 大みやう 天おん ちう日 ふく日
《2730》,《暦日2》,廿三／,みつのえね,たいら,木,八せんのはしめ,天おん 大くわ 地火 わうまう
《2740》,《暦日0》,廿四／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2750》,《暦日2》,廿五／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2760》,《暦日0》,廿六／,きのとのう,やふる,,　,くゑ日 ふく日
《2770》,《暦日2》,廿七／,ひのえたつ,あやふ,土,ま日,きしく 大みやう 母倉
《2780》,《暦日0》,廿八／,ひのとのみ,なる,,　,十し
《2790》,《暦日2》,廿九／,つちのえむま,おさん,火,ま日,めつもん
《2800》,《暦日0》,卅／,つちのとのひつし,ひらく,,　,●
《2810》,《月序》,九月,小,建,壬戌,牛宿　翼　火よう
《2820》,《暦日2》,一／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2830》,《暦日0》,二／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2840》,《暦日2》,三／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2850》,《暦日0》,四／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
