«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-2490»,«月序»,八月,小,建,辛酉,房宿　奎　木よう
«1783-2500»,«暦日2»,一〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1783-2510»,«暦日0»,二〳,かのとのとり,のそく,,　,十し
«1783-2520»,«暦日2»,三〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1783-2530»,«暦日0»,四〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1783-2540»,«暦日2»,五〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1783-2550»,«暦日0»,六〳,きのとのうし,とる,,二百十日,●
«1783-2560»,«暦日2»,七〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1783-2570»,«暦日0»,八〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1783-2580»,«暦日2»,九〳,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
«1783-2590»,«暦日0»,十〳,つちのとのみ,なる,,　,十し
«1783-2600»,«節中»,白露八月せつみの三刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1783-2610»,«暦日2»,十一〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1783-2620»,«暦日0»,十二〳,かのとのひつし,ひらく,,　,●
«1783-2630»,«暦日2»,十三〳,みつのえさる,とつ,金,　,神よし 大みやう
«1783-2640»,«暦日0»,十四〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1783-2650»,«暦日1»,十五〳,きのえいぬ,のそく,火,　,母倉 ちいみ
«1783-2660»,«食記»,月そく皆既,　
«1783-2670»,«暦日1»,十六〳,きのとのい,みつ,火,二百廿日,月とく ちう日 ふく日  入学よし
«1783-2680»,«暦日2»,十七〳,ひのえね,たいら,水,　,大くわ 地火
«1783-2690»,«暦日0»,十八〳,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
«1783-2700»,«暦日2»,十九〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1783-2710»,«暦日0»,廿〳,つちのとのう,やふる,,　,大みやう 天おん
«1783-2720»,«暦日2»,廿一〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1783-2730»,«暦日0»,廿二〳,かのとのみ,なる,,　,十し
«1783-2740»,«暦日2»,廿三〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん
